Alterações incorrectas a este ficheiro EuroMilhoes.log
podem comprometer o funcionamento do programa TUTILOTO, de AFAsoft.
0608: 01 11 18 19 47 + 3 7
0609: 03 05 08 10 44 + 3 5
0610: 01 21 33 45 49 + 4 8
0611: 05 32 44 45 50 + 1 7
0612: 17 28 33 35 47 + 4 9
0613: 03 20 31 45 50 + 6 7
0614: 12 13 29 44 50 + 4 5
0615: 16 26 34 35 49 + 2 6
0616: 01 20 22 37 46 + 1 9
0617: 05 10 17 22 33 + 5 7
0618: 04 08 14 16 50 + 3 9
0619: 05 20 23 34 50 + 1 5
0620: 03 05 25 34 49 + 5 8
0621: 02 12 21 41 49 + 3 7
0622: 07 08 27 41 48 + 1 6
0623: 03 12 15 34 39 + 4 6
0624: 01 16 26 30 36 + 3 9
0625: 09 21 30 43 44 + 1 9
0626: 06 15 16 40 43 + 1 2
0627: 07 09 18 35 43 + 5 7
0628: 01 07 17 31 36 + 2 8
0629: 02 04 09 38 50 + 6 8
0630: 03 08 12 29 43 + 6 7
0631: 01 14 15 26 32 + 3 7
0632: 27 28 31 46 47 + 2 5
0633: 12 37 39 40 50 + 1 2
0634: 10 28 40 47 48 + 6 8
0635: 03 07 25 45 50 + 6 9
0636: 01 10 12 32 33 + 1 8
0637: 06 10 16 26 49 + 7 9
0638: 10 29 30 45 49 + 3 8
0639: 01 03 06 18 24 + 5 8
0640: 05 11 22 35 38 + 7 8
0641: 02 25 32 38 41 + 3 5
0642: 10 19 34 45 47 + 3 6
0643: 03 04 08 44 50 + 7 8
0644: 11 13 24 44 49 + 3 9
0645: 14 21 27 30 36 + 2 3
0646: 12 22 32 33 36 + 2 6
0647: 05 08 17 25 40 + 1 5
0648: 04 08 16 37 41 + 2 5
0649: 16 17 18 36 47 + 1 2
0650: 09 23 35 37 42 + 3 7
0651: 09 11 20 38 43 + 2 3
0652: 06 09 13 14 35 + 3 4
0701: 17 19 29 36 45 + 5 6
0702: 08 11 14 19 25 + 3 5
0703: 05 13 27 33 42 + 2 4
0704: 11 15 23 30 38 + 4 9
0705: 14 23 27 30 36 + 1 6
0706: 14 16 30 36 46 + 2 8
0707: 08 19 20 39 50 + 6 9
0708: 02 15 18 20 22 + 2 5
0709: 03 16 34 38 48 + 5 8
0710: 02 03 25 43 48 + 6 9
0711: 04 14 31 45 49 + 4 9
0712: 05 13 17 40 43 + 1 3
0713: 09 17 19 41 46 + 1 8
0714: 15 23 29 41 48 + 3 6
0715: 07 20 25 38 41 + 3 7
0716: 23 26 32 41 45 + 3 7
0717: 07 18 27 36 44 + 1 2
0718: 06 17 35 41 45 + 1 5
0719: 07 12 26 29 49 + 2 6
0720: 26 34 37 39 49 + 2 6
0721: 25 26 29 49 50 + 7 8
0722: 06 22 37 41 42 + 6 9
0723: 01 15 17 25 45 + 2 8
0724: 05 07 14 21 40 + 3 8
0725: 11 16 17 22 34 + 5 6
0726: 08 12 28 33 45 + 1 3
0727: 04 05 19 39 41 + 8 9
0728: 09 13 15 31 48 + 3 6
0729: 10 21 25 26 50 + 4 9
0730: 01 04 21 29 41 + 7 8
0731: 10 30 33 37 41 + 1 8
0732: 23 40 42 43 49 + 2 6
0733: 02 03 13 38 42 + 7 8
0734: 01 03 16 42 48 + 2 3
0735: 06 18 22 23 37 + 5 6
0736: 02 03 33 34 42 + 3 5
0737: 05 09 11 29 33 + 7 9
0738: 01 17 32 35 37 + 1 8
0739: 22 30 34 35 44 + 4 5
0740: 11 20 27 35 44 + 2 5
0741: 21 32 36 46 47 + 3 4
0742: 07 18 34 35 40 + 7 8
0743: 07 20 38 40 43 + 1 8
0744: 03 16 18 19 40 + 1 2
0745: 05 14 22 25 36 + 5 6
0746: 09 18 23 33 37 + 1 8
0747: 02 10 22 29 48 + 3 9
0748: 12 19 20 30 38 + 7 9
0749: 02 04 32 43 48 + 1 7
0750: 08 25 30 36 44 + 3 4
0751: 07 09 28 37 44 + 6 7
0752: 20 21 22 31 45 + 7 9
0801: 10 12 24 25 41 + 3 5
0802: 08 24 36 49 50 + 4 8
0803: 14 16 23 40 46 + 4 8
0804: 02 06 09 19 45 + 7 8
0805: 22 30 45 47 49 + 4 9
0806: 17 28 30 38 44 + 1 4
0807: 12 27 29 45 46 + 4 7
0808: 04 27 32 46 50 + 8 9
0809: 12 37 40 47 49 + 2 9
0810: 02 07 14 17 35 + 1 6
0811: 13 21 25 35 48 + 4 8
0812: 02 10 18 22 36 + 4 6
0813: 05 09 17 29 39 + 3 6
0814: 11 13 18 37 47 + 1 6
0815: 06 25 30 45 50 + 5 7
0816: 03 06 07 27 50 + 5 9
0817: 04 19 26 27 30 + 3 8
0818: 02 26 37 45 48 + 4 8
0819: 08 09 40 42 45 + 6 7
0820: 06 09 15 25 38 + 4 9
0821: 05 09 19 21 38 + 1 7
0822: 05 07 14 20 49 + 2 8
0823: 07 19 21 40 50 + 2 9
0824: 13 16 37 44 50 + 1 9
0825: 08 11 36 37 45 + 3 5
0826: 05 20 26 44 50 + 5 7
0827: 07 19 22 27 48 + 5 7
0828: 09 11 13 19 37 + 3 4
0829: 10 14 16 29 44 + 5 6
0830: 07 11 15 24 29 + 2 7
0831: 01 22 25 40 50 + 1 8
0832: 04 05 15 16 45 + 4 7
0833: 11 17 18 26 31 + 5 6
0834: 07 27 29 39 50 + 5 7
0835: 02 20 25 37 39 + 5 8
0836: 07 12 16 17 39 + 3 8
0837: 19 23 33 37 50 + 3 7
0838: 14 16 19 20 31 + 6 9
0839: 14 29 31 33 37 + 1 2
0840: 04 13 19 23 38 + 2 3
0841: 04 15 22 31 41 + 1 6
0842: 03 10 12 42 50 + 1 5
0843: 07 15 16 17 45 + 6 9
0844: 03 18 25 34 41 + 2 5
0845: 01 09 12 17 18 + 3 4
0846: 08 10 14 21 26 + 3 4
0847: 09 14 21 49 50 + 3 8
0848: 08 11 16 25 41 + 2 4
0849: 04 08 21 35 45 + 5 8
0850: 02 19 28 42 49 + 2 7
0851: 28 29 40 46 50 + 5 7
0852: 01 02 26 44 50 + 1 7
0901: 29 30 36 37 48 + 1 6
0902: 07 15 22 28 48 + 1 4
0903: 03 17 22 49 50 + 3 6
0904: 32 33 36 40 49 + 2 8
0905: 04 29 34 35 46 + 5 8
0906: 10 20 30 36 40 + 3 5
0907: 22 33 36 40 42 + 1 2
0908: 09 12 13 14 48 + 1 2
0909: 05 09 37 44 45 + 6 9
0910: 13 17 19 25 35 + 5 6
0911: 12 24 26 36 42 + 1 4
0912: 12 16 23 31 35 + 4 6
0913: 25 33 36 38 42 + 6 7
0914: 02 20 24 32 46 + 1 9
0915: 09 14 16 37 46 + 2 4
0916: 04 07 21 44 47 + 1 5
0917: 04 14 21 24 41 + 5 8
0918: 05 19 31 38 47 + 3 5
0919: 04 23 24 29 31 + 8 9
0920: 08 18 19 20 42 + 5 9
0921: 04 13 14 33 43 + 1 6
0922: 02 05 30 37 47 + 3 6
0923: 11 19 26 35 40 + 2 5
0924: 06 14 16 34 50 + 4 6
0925: 04 16 17 20 29 + 5 7
0926: 06 11 21 30 39 + 2 8
0927: 21 29 34 46 47 + 6 8
0928: 06 16 20 42 46 + 1 6
0929: 02 08 17 32 50 + 3 7
0930: 14 15 25 35 47 + 5 9
0931: 05 09 20 21 26 + 3 6
0932: 10 20 22 24 31 + 2 7
0933: 05 08 24 30 49 + 3 9
0934: 04 07 16 31 42 + 3 5
0935: 08 36 37 41 49 + 5 7
0936: 06 09 20 38 39 + 3 9
0937: 12 15 35 42 43 + 4 6
0938: 06 16 30 38 41 + 2 4
0939: 06 17 18 21 34 + 3 9
0940: 22 23 24 29 44 + 1 5
0941: 07 11 29 46 50 + 4 7
0942: 12 23 30 31 47 + 3 4
0943: 06 18 20 29 31 + 2 8
0944: 09 33 35 38 40 + 2 6
0945: 11 19 34 43 45 + 5 9
0946: 13 15 25 26 32 + 3 4
0947: 05 09 28 43 47 + 2 9
0948: 05 08 13 15 33 + 8 9
0949: 18 19 25 30 44 + 1 3
0950: 20 41 43 44 46 + 2 9
0951: 14 30 32 35 49 + 3 8
0952: 04 05 14 17 34 + 3 5
1001: 09 22 24 27 36 + 5 7
1002: 04 05 14 44 46 + 8 9
1003: 11 26 29 49 50 + 4 7
1004: 04 22 27 36 44 + 7 9
1005: 09 17 30 39 43 + 5 7
1006: 34 35 38 39 46 + 3 4
1007: 01 05 18 38 45 + 4 6
1008: 12 31 37 38 43 + 2 3
1009: 07 11 18 29 42 + 6 7
1010: 12 18 19 43 49 + 3 9
1011: 01 26 33 36 46 + 6 7
1012: 10 28 30 38 39 + 2 7
1013: 08 16 18 37 43 + 2 6
1014: 12 18 24 26 45 + 4 5
1015: 07 21 23 24 44 + 3 4
1016: 09 11 17 26 40 + 3 9
1017: 03 07 08 43 46 + 6 8
1018: 06 22 24 25 36 + 3 8
1019: 03 06 15 21 32 + 7 9
1020: 01 17 31 43 47 + 2 3
1021: 07 19 30 38 50 + 4 7
1022: 04 09 31 32 33 + 3 7
1023: 04 17 34 40 42 + 4 9
1024: 02 22 24 36 44 + 1 2
1025: 02 29 31 32 38 + 1 4
1026: 01 08 18 28 31 + 8 9
1027: 12 13 36 41 46 + 1 8
1028: 09 24 37 39 49 + 3 9
1029: 38 39 45 46 49 + 7 8
1030: 04 13 35 37 46 + 3 9
1031: 03 04 11 28 39 + 2 8
1032: 13 25 28 29 42 + 4 5
1033: 04 09 15 21 47 + 2 7
1034: 05 27 31 40 42 + 1 6
1035: 01 06 13 30 49 + 1 9
1036: 13 24 26 47 49 + 4 8
1037: 17 21 35 41 45 + 1 5
1038: 17 27 29 38 50 + 1 3
1039: 01 04 16 40 48 + 1 9
1040: 01 04 06 27 48 + 1 6
1041: 09 30 35 39 46 + 6 8
1042: 02 31 36 38 43 + 3 7
1043: 04 05 09 11 39 + 3 5
1044: 16 20 22 32 42 + 8 9
1045: 21 23 33 40 50 + 4 5
1046: 07 19 23 29 47 + 1 6
1047: 12 15 32 36 45 + 7 9
1048: 09 28 36 41 49 + 5 7
1049: 08 19 28 32 46 + 4 7
1050: 02 03 10 33 46 + 7 8
1051: 03 20 29 35 42 + 3 8
1052: 19 36 38 42 46 + 2 8
1053: 02 24 34 38 43 + 1 7
1101: 01 22 32 48 50 + 6 7
1102: 02 14 24 39 44 + 6 7
1103: 03 11 13 18 21 + 4 5
1104: 13 23 24 41 42 + 1 5
1105: 02 11 24 35 47 + 5 9
1106: 12 14 15 19 23 + 7 8
1107: 02 03 15 45 49 + 5 9
1108: 12 13 42 45 48 + 3 9
1109: 11 25 27 28 41 + 5 8
1110: 17 19 24 37 46 + 2 7
1111: 01 13 20 26 50 + 6 7
1112: 06 12 21 27 33 + 3 7
1113: 04 17 21 22 33 + 4 8
1114: 21 23 38 47 50 + 2 6
1115: 04 06 21 39 41 + 2 6
1116: 11 22 36 45 48 + 1 4
1117: 15 25 38 40 41 + 1 2
1118: 11 16 20 22 28 + 4 9
110510019: 03 10 15 28 45 + 05 07
110513020: 09 11 17 36 47 + 01 02
110517021: 20 21 37 45 46 + 02 03
110520022: 10 14 20 25 42 + 08 11
110524023: 16 23 24 26 29 + 02 09
110527024: 09 17 25 28 49 + 08 09
110531025: 01 09 10 22 50 + 05 11
110603026: 04 39 40 49 50 + 02 05
110607027: 06 25 36 38 40 + 04 10
110610028: 03 19 20 37 48 + 08 11
110614029: 05 12 19 41 48 + 08 10
110617030: 11 16 21 22 44 + 03 08
110621031: 17 20 35 49 50 + 03 04
110624032: 05 16 20 30 41 + 06 11
110628033: 15 16 30 44 50 + 02 03
110701034: 08 11 23 31 46 + 08 09
110705035: 11 28 29 47 49 + 01 05
110708036: 12 13 23 40 49 + 07 10
110712037: 17 19 38 42 45 + 09 10
110715038: 06 26 33 34 39 + 03 04
110719039: 03 16 25 26 35 + 05 09
110722040: 04 15 23 49 50 + 02 06
110726041: 01 05 22 25 48 + 03 11
110729042: 12 19 27 37 38 + 05 10
110802043: 05 08 14 24 33 + 03 08
110805044: 13 14 18 32 34 + 01 10
110809045: 07 23 24 34 36 + 08 11
110812046: 07 10 20 27 37 + 04 07
110816047: 01 13 17 18 45 + 03 08
110819048: 06 14 16 28 31 + 02 11
110823049: 04 06 14 42 50 + 02 04
110826050: 12 22 25 33 45 + 05 07
110830051: 02 08 10 19 46 + 05 09
110902052: 12 26 37 38 44 + 04 07
110906053: 35 42 47 48 50 + 08 09
110909054: 05 21 28 31 34 + 01 02
110913055: 09 28 30 32 49 + 09 10
110916056: 02 08 17 39 42 + 03 10
110920057: 09 19 25 36 38 + 07 11
110923058: 06 14 33 34 48 + 02 06
110927059: 18 27 28 35 40 + 03 05
110930060: 05 15 28 31 44 + 01 06
111004061: 14 16 23 38 45 + 08 11
111007062: 18 26 34 38 42 + 05 08
111011063: 01 04 12 16 48 + 09 10
111014064: 12 23 29 32 47 + 03 05
111018065: 18 23 37 46 48 + 02 10
111021066: 02 19 33 37 46 + 05 08
111025067: 12 22 27 28 39 + 04 10
111028068: 16 17 20 39 50 + 04 08
111101069: 14 20 23 45 46 + 01 11
111104070: 11 14 41 43 50 + 02 09
111108071: 01 04 15 29 40 + 01 05
111111072: 01 04 18 23 30 + 03 07
111115073: 06 17 22 45 47 + 03 11
111118074: 04 12 24 39 44 + 02 04
111122075: 16 18 24 38 40 + 02 04
111125076: 14 19 26 28 34 + 05 08
111129077: 11 25 41 45 50 + 02 07
111202078: 07 27 30 40 43 + 08 09
111206079: 19 20 21 34 38 + 03 09
111209080: 12 21 29 44 47 + 01 02
111213081: 07 12 18 33 37 + 01 11
111216082: 02 05 10 23 31 + 02 05
111220083: 01 09 12 14 48 + 01 07
111223084: 07 21 22 24 28 + 01 11
111227085: 19 21 25 26 44 + 03 07
111230086: 16 36 43 44 50 + 07 08
120103001: 03 30 42 45 49 + 05 10
120106002: 01 06 10 12 31 + 02 07
120110003: 04 09 10 30 40 + 02 09
120113004: 13 14 21 27 39 + 06 08
120117005: 12 22 30 31 44 + 05 06
120120006: 02 10 22 27 28 + 06 08
120124007: 01 02 06 20 36 + 08 11
120127008: 10 13 19 39 44 + 02 06
120131009: 09 34 38 43 45 + 02 04
120203010: 16 19 20 25 28 + 01 10
120207011: 03 15 17 28 33 + 02 04
120210012: 03 08 14 31 41 + 07 11
120214013: 14 27 36 42 46 + 08 11
120217014: 04 11 28 38 47 + 10 11
120221015: 11 14 24 25 29 + 07 11
120224016: 03 07 12 26 34 + 08 10
120228017: 01 10 17 33 48 + 02 03
120302018: 05 06 11 30 44 + 02 06
120306019: 23 24 27 37 47 + 02 06
120309020: 03 32 36 39 47 + 06 09
120313021: 01 10 25 43 47 + 08 09
120316022: 03 04 12 23 50 + 04 07
120320023: 15 16 28 30 46 + 03 04
120323024: 09 15 23 31 50 + 08 11
120327025: 24 27 29 34 36 + 07 08
120330026: 04 17 23 36 46 + 06 10
120403027: 01 08 18 25 30 + 09 10
120406028: 11 20 30 35 45 + 02 03
120410029: 22 25 27 36 37 + 05 09
120413030: 08 13 26 39 43 + 03 05
120417031: 10 28 33 48 49 + 01 10
120420032: 03 06 29 32 41 + 10 11
120424033: 08 09 24 43 48 + 03 05
120427034: 20 27 30 36 43 + 01 06
120501035: 04 05 15 19 41 + 09 11
120504036: 03 26 39 40 41 + 01 02
120508037: 03 21 34 38 48 + 05 08
120511038: 01 13 17 38 44 + 02 11
120515039: 02 11 13 26 50 + 02 05
120518040: 13 29 43 47 50 + 09 11
120522041: 16 31 32 37 41 + 01 07
120525042: 12 22 35 46 49 + 02 08
120529043: 08 15 17 25 28 + 03 11
120601044: 02 04 14 26 36 + 09 10
120605045: 13 34 37 47 49 + 08 09
120608046: 05 11 22 34 40 + 09 11
120612047: 08 15 26 30 48 + 09 10
120615048: 10 22 27 38 48 + 03 07
120619049: 07 17 20 35 50 + 05 11
120622050: 14 18 19 43 49 + 03 07
120626051: 01 11 20 22 35 + 08 10
120629052: 14 17 28 29 39 + 01 11
120703053: 02 07 22 27 40 + 03 06
120706054: 31 32 38 40 42 + 01 03
120710055: 01 03 16 24 37 + 01 08
120713056: 08 18 25 35 46 + 04 09
120717057: 02 07 24 43 46 + 08 10
120720058: 10 19 23 45 49 + 09 10
120724059: 04 16 18 25 44 + 01 11
120727060: 14 15 21 23 48 + 02 10
120731061: 04 29 35 36 39 + 08 09
120803062: 24 34 35 42 46 + 01 05
120807063: 20 27 34 46 50 + 02 03
120810064: 11 17 21 48 50 + 09 10
120814065: 01 16 38 42 45 + 09 10
120817066: 19 25 28 33 44 + 02 08
120821067: 04 05 17 38 48 + 03 04
120824068: 05 06 12 19 37 + 03 07
120828069: 01 18 25 26 44 + 04 05
120831070: 16 28 31 33 48 + 07 11
120904071: 11 17 18 39 44 + 05 10
120907072: 13 15 30 35 42 + 04 06
120911073: 06 15 22 37 44 + 02 04
120914074: 03 10 23 27 44 + 07 09
120918075: 06 07 38 39 44 + 07 09
120921076: 04 19 34 41 43 + 07 11
120925077: 07 25 27 48 49 + 01 04
120928078: 20 23 26 30 33 + 06 09
121002079: 04 16 21 36 42 + 07 08
121005080: 09 16 18 19 21 + 02 03
121009081: 02 08 10 23 25 + 08 09
121012082: 06 07 17 35 43 + 02 08
121016083: 10 32 40 41 49 + 02 08
121019084: 16 29 37 40 44 + 08 10
121023085: 01 28 35 38 50 + 02 10
121026086: 05 06 09 27 38 + 05 11
121030087: 23 24 25 31 44 + 02 03
121102088: 03 06 10 11 44 + 03 04
121106089: 07 20 25 35 41 + 01 09
121109090: 14 21 22 28 47 + 04 05
121113091: 11 16 21 24 29 + 02 06
121116092: 10 15 19 23 41 + 02 09
121120093: 28 30 42 45 49 + 05 10
121123094: 01 09 11 20 40 + 01 05
121127095: 06 10 23 44 49 + 01 07
121130096: 10 18 23 24 40 + 03 04
121204097: 05 10 28 29 44 + 02 04
121207098: 10 16 18 31 42 + 02 05
121211099: 01 04 09 43 50 + 06 08
121214100: 10 11 29 40 43 + 03 11
121218101: 14 18 20 35 44 + 02 05
121221102: 03 05 22 40 42 + 03 10
121225103: 14 18 20 23 32 + 03 10
121228104: 17 24 26 27 49 + 03 05
130101001: 02 07 08 36 49 + 01 11
130104002: 04 10 22 27 41 + 08 10
130108003: 02 20 22 26 47 + 05 09
130111004: 04 22 29 37 41 + 04 07
130115005: 22 38 40 42 47 + 01 11
130118006: 04 26 27 30 39 + 03 10
130122007: 01 10 44 45 48 + 01 04
130125008: 03 10 18 31 37 + 02 04
130129009: 09 16 26 36 39 + 02 06
130201010: 05 21 34 37 38 + 01 06
130205011: 06 25 31 40 45 + 06 07
130208012: 09 11 14 34 44 + 10 11
130212013: 05 11 16 25 28 + 07 09
130215014: 02 04 22 28 42 + 04 09
130219015: 12 15 28 30 44 + 08 09
130222016: 15 16 28 36 37 + 02 11
130226017: 03 12 13 17 30 + 02 06
130301018: 01 11 29 36 42 + 04 05
130305019: 08 19 31 33 39 + 02 07
130308020: 03 20 23 28 42 + 08 11
130312021: 02 04 10 22 50 + 05 08
130315022: 04 14 21 24 39 + 03 10
130319023: 19 32 35 37 44 + 01 09
130322024: 12 27 32 34 49 + 08 09
130326025: 04 26 30 42 44 + 06 11
130329026: 13 30 43 44 46 + 05 09
130402027: 12 17 25 29 41 + 01 04
130405028: 01 11 17 32 39 + 02 07
130409029: 15 35 38 44 48 + 05 10
130412030: 05 10 15 28 45 + 03 09
130416031: 01 11 22 33 50 + 04 06
130419032: 01 08 42 46 48 + 04 07
130423033: 01 04 07 10 50 + 04 11
130426034: 11 16 24 38 40 + 02 05
130430035: 13 36 40 43 50 + 05 09
130503036: 03 05 34 40 49 + 02 03
130507037: 13 27 28 42 43 + 04 06
130510038: 01 32 35 45 48 + 04 11
130514039: 07 08 24 27 36 + 05 11
130517040: 06 20 24 25 50 + 09 10
130521041: 07 08 19 28 29 + 05 09
130524042: 07 17 22 27 40 + 02 03
130528043: 08 13 26 34 38 + 03 11
130531044: 27 28 29 34 43 + 05 10
130604045: 31 33 34 37 40 + 01 06
130607046: 07 14 26 45 50 + 02 07
130611047: 05 07 09 25 41 + 01 05
130614048: 10 25 41 47 48 + 06 10
130618049: 17 24 33 41 44 + 01 11
130621050: 10 11 30 36 45 + 01 02
130625051: 04 05 13 27 35 + 01 02
130628052: 01 15 28 35 47 + 01 07
130702053: 11 13 14 28 30 + 04 05
130705054: 04 12 15 28 33 + 01 10
130709055: 16 18 31 38 49 + 04 10
130712056: 18 26 32 33 42 + 02 03
130716057: 19 23 34 47 50 + 04 06
130719058: 13 16 24 26 35 + 02 05
130723059: 14 15 16 19 44 + 04 05
130726060: 12 23 29 38 49 + 03 04
130730061: 03 04 11 14 43 + 01 06
130802062: 21 36 37 42 48 + 04 07
130806063: 16 17 31 47 49 + 03 11
130809064: 04 07 09 23 24 + 08 09
130813065: 05 17 20 47 50 + 01 04
130816066: 20 24 27 37 39 + 05 10
130820067: 05 11 42 49 50 + 08 11
130823068: 01 06 26 30 37 + 05 08
130827069: 07 30 38 40 43 + 02 06
130830070: 02 17 25 36 45 + 05 09
130903071: 05 09 16 18 42 + 07 09
130906072: 11 23 25 32 37 + 04 07
130910073: 07 11 14 28 30 + 02 10
130913074: 04 06 14 27 33 + 05 10
130917075: 13 17 21 42 44 + 09 11
130920076: 05 11 35 38 45 + 02 03
130924077: 10 20 26 28 43 + 09 11
130927078: 11 15 38 41 43 + 02 06
131001079: 19 23 25 44 48 + 08 09
131004080: 06 20 24 35 50 + 05 10
131008081: 23 24 26 33 42 + 03 05
131011082: 06 12 17 23 43 + 05 09
131015083: 18 27 39 43 47 + 04 07
131018084: 05 25 36 46 47 + 02 06
131022085: 29 33 39 41 44 + 09 11
131025086: 02 03 10 31 38 + 06 10
131029087: 09 10 30 32 37 + 02 06
131101088: 07 19 29 30 33 + 03 08
131105089: 06 12 13 35 38 + 02 03
131108090: 20 28 35 42 43 + 08 10
131112091: 14 29 37 40 48 + 02 11
131115092: 03 13 15 29 42 + 01 04
131119093: 14 15 19 36 45 + 01 10
131122094: 13 25 26 40 50 + 08 09
131126095: 19 23 27 42 44 + 03 05
131129096: 02 07 10 23 43 + 04 07
131203097: 06 13 15 29 32 + 02 09
131206098: 01 02 18 31 36 + 07 10
131210099: 06 24 35 49 50 + 01 07
131213100: 01 22 23 24 31 + 06 11
131217101: 06 08 27 37 41 + 07 10
131220102: 12 13 17 22 43 + 03 10
131224103: 05 19 31 43 50 + 02 06
131227104: 01 06 13 22 28 + 05 10
131231105: 13 20 24 29 45 + 03 07
140103001: 03 27 31 38 44 + 03 08
140107002: 02 20 27 33 45 + 06 10
140110003: 01 02 11 27 29 + 01 10
140114004: 18 20 25 26 37 + 10 11
140117005: 19 26 32 33 42 + 04 10
140121006: 04 12 35 42 48 + 05 08
140124007: 05 19 34 35 41 + 01 05
140128008: 18 20 23 42 48 + 02 09
140131009: 08 10 15 16 31 + 08 09
140204010: 01 21 33 37 38 + 04 08
140207011: 03 17 19 46 47 + 09 10
140211012: 08 17 25 41 47 + 01 02
140214013: 02 04 06 19 39 + 02 07
140218014: 23 26 36 37 49 + 06 07
140221015: 13 17 28 30 32 + 05 07
140225016: 21 25 28 35 42 + 04 06
140228017: 12 32 38 43 44 + 02 07
140304018: 03 05 22 27 44 + 01 06
140307019: 05 10 38 40 41 + 01 08
140311020: 01 04 23 33 44 + 07 08
140314021: 06 24 25 27 30 + 05 09
140318022: 08 27 34 36 39 + 05 10
